"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2016年7月5日","46.60","49.11","49.35","46.33","609.19K","-4.21%"
"2016年7月4日","48.65","49.01","49.35","48.54","-","-0.73%"
"2016年7月3日","49.01","49.14","49.22","48.94","-","0.04%"
"2016年7月1日","48.99","48.38","49.30","47.90","405.19K","1.37%"
"2016年6月30日","48.33","49.55","49.62","48.17","508.74K","-3.11%"
"2016年6月29日","49.88","48.06","50.00","47.98","511.48K","4.24%"
"2016年6月28日","47.85","46.59","48.18","46.54","498.85K","3.28%"
"2016年6月27日","46.33","47.81","47.96","45.83","504.61K","-2.75%"
"2016年6月24日","47.64","50.30","50.45","46.70","649.45K","-4.93%"
"2016年6月23日","50.11","49.08","50.23","49.08","401.89K","1.99%"
"2016年6月22日","49.13","50.22","50.54","48.40","569.94K","0.57%"
"2016年6月21日","48.85","49.14","49.32","48.16","30.11K","-1.05%"
"2016年6月20日","49.37","48.29","49.42","48.14","98.29K","2.90%"
"2016年6月17日","47.98","45.99","48.29","45.83","226.65K","3.83%"
"2016年6月16日","46.21","47.45","47.75","45.91","507.91K","-3.75%"
"2016年6月15日","48.01","47.90","48.72","47.28","527.87K","-0.99%"
"2016年6月14日","48.49","48.52","48.69","47.84","456.14K","-0.80%"
"2016年6月13日","48.88","48.85","49.28","48.16","506.04K","-0.39%"
"2016年6月10日","49.07","50.47","50.73","48.80","596.12K","-2.95%"
"2016年6月9日","50.56","51.45","51.67","50.23","560.72K","-1.31%"
"2016年6月8日","51.23","50.41","51.62","50.32","656.42K","1.73%"
"2016年6月7日","50.36","49.71","50.53","49.44","542.25K","1.35%"
"2016年6月6日","49.69","48.88","49.90","48.71","450.47K","2.20%"
"2016年6月3日","48.62","49.04","49.41","48.33","481.03K","-1.12%"
"2016年6月2日","49.17","48.90","49.47","47.97","564.85K","0.33%"
"2016年6月1日","49.01","48.82","49.25","47.75","568.84K","-0.18%"
"2016年5月31日","49.10","49.54","50.10","48.81","476.99K","-0.83%"
"2016年5月30日","49.51","49.56","49.75","49.08","-","-0.14%"
"2016年5月29日","49.58","49.54","49.71","49.54","-","0.51%"
"2016年5月27日","49.33","49.31","49.60","48.69","406.39K","-0.30%"
"2016年5月26日","49.48","49.70","50.21","49.22","488.47K","-0.16%"
"2016年5月25日","49.56","49.09","49.75","48.65","550.50K","1.93%"
"2016年5月24日","48.62","48.08","49.27","47.64","475.97K","1.12%"
"2016年5月23日","48.08","48.46","48.50","47.40","475.45K","0.69%"
"2016年5月20日","47.75","48.20","48.79","47.44","28.52K","-0.85%"
"2016年5月19日","48.16","47.87","48.28","46.73","108.82K","-0.06%"
"2016年5月18日","48.19","48.53","48.95","47.75","343.18K","-0.25%"
"2016年5月17日","48.31","47.90","48.76","47.53","470.44K","1.24%"
"2016年5月16日","47.72","46.28","47.98","46.15","550.86K","3.27%"
"2016年5月13日","46.21","46.41","46.49","45.75","519.36K","-1.05%"
"2016年5月12日","46.70","46.00","47.02","45.61","715.10K","1.02%"
"2016年5月11日","46.23","44.60","46.36","43.96","869.96K","3.52%"
"2016年5月10日","44.66","43.25","44.79","43.03","709.42K","2.81%"
"2016年5月9日","43.44","45.00","45.94","43.24","767.57K","-2.73%"
"2016年5月6日","44.66","44.52","45.34","43.54","695.31K","0.77%"
"2016年5月5日","44.32","44.04","46.07","43.96","746.16K","1.23%"
"2016年5月4日","43.78","43.85","44.88","43.22","711.13K","0.30%"
"2016年5月3日","43.65","44.92","45.35","43.32","625.55K","-2.52%"
"2016年5月2日","44.78","45.90","46.15","44.54","464.03K","-2.48%"
